NCT Number,Study Title,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Phases,Start Date,Completion Date,Locations
NCT03993457,Promoting Enhanced Pharmacotherapy Choice Through Immunomarkers Evaluation in Depression,TERMINATED,"PRECISE-D is a single site, randomized, open label 8-week clinical trial that will enroll 70 participants to evaluate if the level of inflammation in our body can predict how we will respond to antidepressants. C-reactive protein (CRP) is a substance in the body that is associated with inflammation. Previous research has suggested that people with high CRP (i.e., high inflammation levels) tend to have greater improvement of depressive symptoms with an antidepressant called bupropion, while individuals with low CRP (i.e., low inflammation levels) appear to have more benefit from selective serotonin reuptake inhibitors antidepressants (SSRI), such as escitalopram. However, it is not completely clear if CRP can predict your response to these two antidepressants.

Participants will undergo a screening visit that includes a physical exam, overall health evaluation, assessment of mental health history, and a toxicology and pregnancy test. Once screening is complete, participants will be randomized to one of two groups that will determine whether their CRP levels will be used to select which antidepressant they will receive. Participants will then complete 4 follow up visits at weeks 2, 4, 6, and 8. A follow-up phone call from the study team will occur at week 12.",Depression,DRUG: Escitalopram|DRUG: Bupropion,University of Texas Southwestern Medical Center,PHASE4,2019-07-23,2022-03-25,"University of Texas Southwestern Medical Center, Dallas, Texas, 75390, United States"
NCT06482606,Glutamate Activity in Depression (GLADE),NOT_YET_RECRUITING,"A brain chemical (neurotransmitter) called glutamate is thought to play an important role in the causation and treatment of depression. It is possible to measure glutamate in the brain in people, using safe magnetic resonance imaging but results of studies of glutamate levels in people with depression and those at risk of depression have been inconclusive.

We have devised a method whereby viewing a flashing light for a few minutes provides a measure of stimulated glutamate release. We believe that this kind of functional measure is more relevant physiologically because studies in animals show that glutamate release evoked by sensory stimulation represents release of glutamate as a neurotransmitter rather than glutamate in intermediate metabolism. Therefore, the use of functional magnetic resonance spectroscopy (fMRS) may provide a more useful measure of neural glutamate activity in people with depression and those at risk of depression.

The aim of this study is to look at the effect of a flashing light on glutamate release in people who have recovered from depression and compare it to people who have not experienced depression. We hope from this to discover whether changes in glutamate activity might be a risk factor for the development of depression. This could be helpful both for diagnostic purposes and for the development of medications that can relieve depression by modifying glutamate release.",Depression,OTHER: Flickering Checkerboard Stimulation,University of Oxford,NA,2024-06,2025-06,"University of Oxford, Oxford, Oxfordshire, OX3 7JX, United Kingdom"
NCT00517972,Omacor for Perimenopausal Depression,WITHDRAWN,"Recently, antidepressants and other similar acting agents have been explored as a class of medications to treat major depressive disorder (MDD) in the context of perimenopause, as well as the somatic symptoms of perimenopause (such as hot flashes). Omega-3 fatty acids, which include eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), are nutritional compounds with widely established health benefits and which occur naturally in fish and marine sources. Results of previous mood disorder studies have indicated that omega-3 fatty acids may be of help in the treatment of depression. Therefore, the current study is designed to examine the effectiveness and tolerability of the study drug, Omacor, (omega-3 fatty acid ethyl esters), in the treatment of major depressive disorder in perimenopausal women.",Depression,DRUG: Omacor (omega-3-acid ethyl esters),University of Arizona,PHASE2,,,"Women's Mental Health Program; University of Arizona, Tucson, Arizona, 85724, United States"
NCT00402389,Use of Omega-3 Fatty Acids for Perinatal Depression,COMPLETED,This study will evaluate the effectiveness of using omega-3 fatty acids to treat women with perinatal depression.,"Depression|Depression, Postpartum",DRUG: Omega-3 Fatty Acids (EPA plus DHA)|BEHAVIORAL: Supportive psychotherapy|DRUG: Placebo,University of Arizona,PHASE2,2004-06,2006-01,"Women's Mental Health Program; University of Arizona; Department of Psychiatry, Tucson, Arizona, 85724, United States"
NCT06562153,fMRI Accelerated TMS Depression,RECRUITING,"This study aims to investigate whether phenotypic-related brain states revealed by a novel INSCAPE (""Individualized Network-based Single-frame Coactivation Pattern Estimation"") neuroimaging method in Major Depressive Disorder (MDD) patients can track brain recovery of MDD patients over an accelerated antidepressant transcranial magnetic stimulation (TMS) treatment.",Depression,OTHER: Neuroimaging with Magnetic Resonance Imaging (MRI),Medical University of South Carolina,,2024-09-23,2026-08-05,"30 Bee Street, Charleston, South Carolina, 29429, United States"
NCT06374056,Kintsugi Voice Device Pilot Study,UNKNOWN,"A prospective, single arm, non-randomized, pilot clinical validation study to evaluate the ability of the Kintsugi Voice Device (the Device) to aid clinical assessment for depression by comparing its output with a diagnosis made by a clinician using the Structured Clinical Interview for DSM-5 (SCID-5-CT) for up to 500 English speaking adult patients ages 22 and older living in the United States. Recruitment will occur for 1 year and participation will be for up to 2 weeks.",Depression|Depression Moderate|Depression Severe|Depression Mild,DEVICE: Kintsugi Voice Device,"Kintsugi Mindful Wellness, Inc.",,2024-03-22,2025-07-22,"Kintsugi Mindful Wellness Inc., Berkeley, California, 94707, United States"
NCT06915207,Adult Depression and Integrative Medical Care,COMPLETED,"The goal of this quasi-experimental study is to learn if integrative medical care works to treat depression in adults and compare it to usual medical care. The main question it aims to answer is to find out whether integrative medical care is equal or better to usual medical care in treating depressed adults over one year.

Participants attended five data collection visits which occurred at baseline, 3, 6, 9 and 12 months. At each visit, they completed questionnaires and had a small blood sample drawn. They were also asked to keep a diary of their symptoms and what they did between visits. They brought a calendar summary with a saliva sample at visits 2 to 5.",Depression,"DIETARY_SUPPLEMENT: Counselling, behavioural, nutrition",University of Saskatchewan,NA,2017-12-01,2024-06-30,"University of Saskatchewan, Saskatoon, Saskatchewan, S7N5E5, Canada"
NCT06388486,Cytokine-Induced Transcription in Depressed Inpatients Undergoing Psychotherapy,COMPLETED,"The goal of this observational study is to measure the levels of cytokine-induced transcription factor activation in a cohort of depressed inpatients undergoing psychotherapy. The study aims to answer the following main questions:

* Do psychological traits (i.e.: social inhibition, negative affectivity, ...) affect the activation of immunomodulatory transcription factors (STAT3, NFkB) in depressed patients?
* Are subjects with these psychological traits affected differently by psychotherapeutic intervention?

Study subjects are assessed for their psychological and behavioral traits and receive psychotherapeutic care over several weeks during hospital treatment. Peripheral blood mononuclear cells are isolated from the study subjects, and activation of transcription factors is measured by flow cytometry.",Depression,BEHAVIORAL: Psychotherapy,University Medical Center Goettingen,,2017-01-01,2024-01-01,
NCT00956514,Neurophysiologic Predictors of Outcome With rTMS Treatment of Major Depressive Disorder,COMPLETED,"Transcranial magnetic stimulation (TMS) therapy has proven to lead to symptom improvement in many individuals with major depressive disorder (MDD), yet there is heterogeneity in outcome, with some patients showing robust remission and other showing minimal symptom change. Identifying which individuals are likely to benefit from TMS therapy early in the course of treatment would support continued treatment for those predicted to do well, and consideration of alternative treatments for others individuals. This study will test specific hypotheses about the relationships between early neurophysiologic changes and later clinical outcome with TMS treatment.",Depression,DEVICE: Transcranial Magnetic Stimulation,"University of California, Los Angeles",PHASE4,2009-07,2011-10,"UCLA Depression Research and Clinic Program, Los Angeles, California, 90024-1759, United States"
NCT03388606,Characterization and Treatment of Adolescent Depression,RECRUITING,"This research study seeks to find causes and treatments of depression in teenagers. The study goals are to increase our knowledge of treatments for depression and understand how the brain changes when teenagers have depression. The study will also compare teenagers with depression to those without mental health diagnoses.

This outpatient study is recruiting participants ages 11-17 who are depressed. They must have a pediatrician or other medical provider, be medically healthy, and able to perform research tasks. They may not currently be hospitalized, psychotic or actively suicidal. Teenagers with depression are eligible even if they are taking medication.

The study begins with an evaluation that includes clinical assessment, interviews, and questionnaires.

* Visits may include paper-and-pencil and computer tests of mood, memory, and thinking; specialized computer games; and structural and brain imaging. If eligible, study participants may return several times a year for up to two years. This part of the study does not involve treatment.
* Participants may be eligible for outpatient treatment for up to 25 weeks. This includes evidenced-based ""talk"" therapy. Participants may choose either Interpersonal Psychotherapy for Adolescents (IPT-A) or Cognitive Behavioral Therapy (CBT). If indicated, participants may opt to receive standard medication treatments along with psychotherapy. Research includes computer tasks and brain imaging.

All clinical evaluations, research tasks and visits are free of cost. Participants are compensated for research activities. Parents and teenager must agree to the teenager s participation in research.

The study is conducted at the NIH in Bethesda, Maryland and enrolls participants from the Washington DC Metro region within 50 miles of NIH. Transportation expenses are reimbursed by NIMH.",Depression,BEHAVIORAL: Growth Mindset,National Institute of Mental Health (NIMH),,2017-12-28,2026-07-01,"National Institutes of Health Clinical Center, Bethesda, Maryland, 20892, United States"
NCT07574060,Allopurinol in Depression,NOT_YET_RECRUITING,"Major depressive disorder (MDD) is one of the most common psychiatric disorders with serious socioeconomic consequences on daily life and health care costs. Despite the advent of newer antidepressants that target monoamine pathways, nearly 50% of patients have no response to first-line antidepressant therapy. Thus, a combination of medications with different strategies at the beginning of treatment could provide further therapeutic benefits to MDD patients.",Depression,DRUG: Sertraline 50 MG|DRUG: Allopurinol 300 MG,Tanta University,PHASE2|PHASE3,2026-05-20,2027-05-20,"Tanta Unuversity, Tanta, 31527, Egypt"
NCT01343563,Trigeminal Nerve Stimulation for Depression: Dose Finding,COMPLETED,"This study will aim to examine the use of external trigeminal nerve stimulation (TNS) as an adjunctive treatment for adults with major depressive disorder (MDD) when added onto antidepressant medications. Our primary objective is the examination of two different ""doses"" of TNS, in terms of pulse frequency.

To accomplish our specific aims, the investigators will test the following specific hypotheses:

1. Subjects will show greater improvement in ratings of mood and other symptoms of depression during the six-week of high frequency stimulation than during low frequency stimulation periods.
2. Subjects will show greater improvement after 12 weeks of high frequency stimulation than after six weeks of high frequency stimulation.
3. Subjects will show improvement in ratings of life functional capacity and quality of life with TNS.
4. Subjects will report the TNS treatments to be acceptable in terms of side effects and burden of using the device.
5. Subjects will show significant differences in regional brain function at the end of the high frequency stimulation period compared with baseline, and significant differences between high and low frequency stimulation conditions.",Depression,PROCEDURE: Trigeminal Nerve Stimulation,"University of California, Los Angeles",PHASE2,2011-01,2012-01,"Semel Institute for Neuroscience and Human Behavior at UCLA, Los Angeles, California, 90024, United States"
NCT00816725,Effectiveness of a Web-based Prevention Program for Postpartum Depression,COMPLETED,The original trial will evaluate the effectiveness of a Web-based program in preventing postpartum depression. The site has been modified to provide materials from both conditions.,Depression|Postpartum Depression,BEHAVIORAL: Mothers and babies Internet course and PPD informational brochure,"University of California, San Francisco",NA,2009-01,2013-06,"University of California, San Francisco, San Francisco, California, 94110, United States"
NCT07293806,Dance-movement Therapy in the Treatment of Adolescent Depression,RECRUITING,The aim of this research is to measure the effectiveness of Dance movement therapy in the treatment of adolescent depression.,Depression,OTHER: Dance movement therapy,Helsinki University Central Hospital,NA,2022-10-01,2027-05-30,"Helsinki University Hospital, Helsinki, 00029, Finland|Adolecent mental health services, Helsinki, Helsinki, 00099, Finland"
NCT06138678,VGR Accelerated TMS Treatment for Depression,RECRUITING,"Intermittent theta burst stimulation (iTBS), a variant of repetitive transcranial magnetic stimulation (rTMS), is a well documented method for treatment of depression.

The aim of the study is to assess the effect of an accelerated iTBS protocol compared to a routine iTBS protocol. In the accelerated protocol patients will receive 1200 pulses per session (2 sessions per day, 15 treatment days) and in the routine protocol patients will receive 600 pulses per session (1 session per day, 30 treatment days).

Participants (n = 146) will be recruited among patients referred to iTBS and randomized to treatment. Participants will be assessed by a psychiatrist, or a resident psychiatrist, prior to treatment to assure that they fulfill all inclusion criteria and non of the exclusion criteria. A psychiatrist, or a resident psychiatrist, will assess depressive symptoms 3 and 6 weeks after first day of treatment. Patients will complete self-rating questionnaires during screening, weekly for 6 weeks starting from the first day of treatment, and 6 months after end of treatment.",Depression,DEVICE: iTBS (intermittent theta-burst stimulation),Vastra Gotaland Region,NA,2024-01-15,2027-08-01,"Kungälv Hospital, Kungälv, Sweden|Hospital of Skövde, Skövde, Sweden"
NCT01071538,Buprenorphine for Late-Life Treatment Resistant Depression,COMPLETED,The goals of this pilot study are to gather data about the safety and clinical effect of low-dose buprenorphine in older adults with treatment resistant depression.,Depression,DRUG: Buprenorphine,University of Pittsburgh,PHASE2,2010-05,2012-05,"Western Psychiatric Institute and Clinica, University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania, 15213, United States"
NCT02272387,Is Vitamin D Insufficiency and Deficiency Associated With Antepartum and Postpartum Depression?,TERMINATED,"Our primary aim is to evaluate whether Vitamin D deficiency causes depressive symptoms in antepartum and postpartum depression and whether early correction of Vitamin D deficiency improves these symptoms.

Our secondary aims evaluate maternal and fetal outcomes including antepartum, intrapartum, and immediate postpartum complications. We are also evaluating the effectiveness of a common vitamin D treatment regimen used outside of pregnancy.",Depression|Postpartum Depression,DIETARY_SUPPLEMENT: Vitamin D3 (Cholecalciferol)|OTHER: Placebo,St. Luke's-Roosevelt Hospital Center,NA,2014-10,2016-04-14,"Mount Sinai Roosevelt Hospital, New York, New York, 10019, United States"
NCT00676676,Effects of Testosterone in Women With Depression,COMPLETED,"The purpose of the study is to determine whether adding a low dose of testosterone to current antidepressant therapy improves depression and fatigue in women who remain depressed despite necessary adequate doses of anti-depressants. Testosterone will be given over an 8-week period.

Testosterone is a hormone that occurs naturally in the body. In women it comes from the ovaries and adrenal glands and is found in amounts that are ten to twenty times lower than in men.

In early research studies, testosterone has been shown to have some antidepressant effects in the following groups of subjects:

* Women with anorexia nervosa
* Women who have low testosterone levels because their pituitary glands do not work
* Men with Selective Serotonin Reuptake Inhibitor (SSRI)-resistant depression.

However, testosterone administration in women with SSRI or Serotonin-norepinephrine reuptake inhibitor (SNRI) -resistant depression has not been studied.",Depression,DRUG: Testosterone,Massachusetts General Hospital,NA,2007-03,2008-10,
NCT07395700,Validation of the Behavioral Activation for Depression Scale in Individuals With Substance Use Disorders,COMPLETED,"This observational study evaluates the psychometric properties of the Behavioral Activation for Depression Scale (BADS) in individuals with substance use disorders. The study examines the scale's internal structure, reliability, and validity using data from 289 participants who completed the BADS. External and incremental validity analyses were conducted in a subsample of 127 participants for whom additional clinical measures were available, including assessments of symptom severity, anxiety, impulsivity, and anger expression. This approach reflects the availability of complete data for each analytic component and allows for a comprehensive evaluation of the BADS in a clinical population.",Substance Use Disorders|Mental Health Disorders|Substance-related Disorders|Depression Scale Score|Validation Study,,Lauro Gutiérrez Castro,,2024-03-18,2025-12-22,"Comunidad Terapéutica Under The Tree, Ajijic, Jalisco, 45920, Mexico"
NCT07500064,Transcranial Direct Current Stimulation for Depression,NOT_YET_RECRUITING,"Background:

Depression is a common mental disorder characterized by persistent low mood and anhedonia. Pharmacological and psychotherapeutic treatments demonstrate only moderate efficacy. Non-invasive brain stimulation techniques offer novel therapeutic approaches. Among these, transcranial direct current stimulation (tDCS) holds advantages due to its simplicity, low cost, and minimal side effects, exhibiting good efficacy and tolerability in depression treatment. The dorsolateral prefrontal cortex (DLPFC), a core region of the cognitive control network, serves as a traditional target for non-invasive brain stimulation in depression and plays a crucial role in positive affect (PA) processing. Conversely, the dorsomedial prefrontal cortex (DMPFC), a central region of the default mode network, participates in negative self-referential processing and negative affect (NA) regulation, demonstrating potential as a novel therapeutic target.

Objective:

Given the distinct roles of DLPFC and DMPFC in separate affective regulation networks, this study aims to investigate the differential effects of different tDCS targets on emotional regulation in patients with depression.

Design:

This study employed a randomized, double-blind, controlled design. Participants diagnosed with depression will be randomly assigned to receive either effective tDCS targeting the left DLPFC or effective tDCS targeting the DMPFC. Primary outcome measures focus on changes in clinical symptom assessments.",Depression,DEVICE: transcranial direct current stimulation (tDCS),The Second Hospital of Anhui Medical University,NA,2026-03-30,2027-12-31,"transcranial direct current stimulation (tDCS), Hefei, Anhui, China"
NCT06292221,Personalized Depression Treatment Supported by Mobile Sensor Analytics,COMPLETED,"The current best practice guidelines for treating depression call for close monitoring of patients, and periodically adjusting treatment as needed. This present study seeks to develop and investigate an innovative digital system, DepWatch, that leverages mobile health technologies and machine learning tools to provide clinicians objective, accurate, and timely assessment of depression symptoms to assist with their clinical decision making process. Specifically, DepWatch collects sensory data passively from smartphones and wristbands, without any user interaction, and uses simple user-friendly interfaces to collect ecological momentary assessments (EMA), medication adherence and safety related data from patients. The collected data will be fed to machine learning models to be developed in the project to provide weekly assessment of patient symptom levels and predict the trajectory of treatment response over time. The assessment and prediction results are then presented using a graphic interface to clinicians to help them make critical treatment decisions. The main question the present clinical trial aims to answer are as follows:

1. Feasibility of the digital tool, DepWatch, to assist clinicians in depression treatment and inform their clinical decision process
2. Effectiveness of the digital tool, DepWatch, to improve depression treatment outcomes All study participants will carry the DepWatch app on their smartphones and wear a Fitbit provided by the study team during the study period. They will also complete brief questionnaires via the app at specific time intervals throughout the study period.",Depression,OTHER: A mobile Health (mHealth) tool called 'DepWatch',UConn Health,NA,2024-04-04,2025-06-08,"University of Connecticut Health Center, Farmington, Connecticut, 06030, United States"
NCT06924892,Assessment of Music Experiences in Navigating Depression,COMPLETED,"The study team sought to scientifically investigate strategic subsets of depressed individuals or people prone to or at-risk of depression through music experiences of individual, group, and blended supported contexts. Meetings with the study multi-disciplinary team, included member of the Carnegie Hall Weill Music Institute and University affiliates, where the study team gathered quantitative and qualitative data in individual and group forums, measuring disease process and levels of participation. Through tabulation of participatory options with standardized depression and resilience measurements, the study team studied how live music could alter depressive symptoms over time and/ or change negative influencers of mood, shift quality of life, and lead toward possibly enhanced disease trajectory outcomes.",Depression,BEHAVIORAL: Music therapy|OTHER: Wellness Concerts,Icahn School of Medicine at Mount Sinai,NA,2023-04-05,2025-03-30,"Mount Sinai Union Square, New York, New York, 10003, United States"
NCT05137938,Intranasal Ketamine in Ultra-REsistant Depression (SURE-ECT Non Responders),COMPLETED,"Despite the known efficacy of pharmacotherapy (i.e. antidepressants) and psychotherapeutic interventions in treating depressive disorders, research evidence suggests that 20% to 40% of patients with major depressive disorder (MDD) do not respond adequately to such treatments. These patients are diagnosed with Treatment-Resistant Depression (TRD), and are sometimes treated with convulsive therapy. However, about 10-30% of TRD patients do not respond to convulsive therapy, and are thus diagnosed with Ultra-Resistant Depression (URD). Using an open label pilot study involving subjects, this trial aims to assess the safety, tolerability, and clinical effects of intranasal ketamine (IN) treatment in patients who do not respond to convulsive therapy. Intranasal ketamine (IN) treatment approach has shown promising therapeutic outcomes for patients with TRD, but has not yet been studied on patients with URD.",Depression,DRUG: Intranasal Ketamine (IN),Centre for Addiction and Mental Health,NA,2021-10-25,2023-07-24,"Centre for Addiction and Mental Health, Toronto, Ontario, M5T 1R8, Canada"
NCT01880593,Ketamine Plus Lithium in Treatment-Resistant Depression,COMPLETED,"The purpose of this study is to test the antidepressant effect of ketamine when given repeatedly over a period of 1 week, as well as the use of Lithium as a relapse-prevention strategy for patients with treatment-resistant depression (TRD) who respond to an initial series of ketamine infusions. Ketamine is a Food and Drug Administration approved anesthetic (a drug used to produce loss of consciousness before and during surgery). Ketamine is not approved for the treatment of major depressive disorder and is considered experimental in this study. An additional purpose of this study is to research the effects of ketamine on brain function.

You may qualify to take part in this research study because you have been diagnosed with major depressive disorder (MDD) and have not responded to past treatments.",Depression,DRUG: Lithium|DRUG: Ketamine|DRUG: Placebo,Icahn School of Medicine at Mount Sinai,PHASE2,2013-07,2016-11,"Icahn School of Medicine at Mount Sinai, New York, New York, 10029, United States"
NCT05937932,Exploring Clinical Study Experiences of People With Depression,NOT_YET_RECRUITING,"The study seeks to delve into the firsthand experiences of patients diagnosed with depression who partake in a separate clinical trial featuring a specific medical intervention. The primary emphasis will be on meticulously tracking the rates of trial completion and withdrawal among these individuals.

By joining this clinical trial, individuals have the unique opportunity to contribute to the betterment of future depression patients and play an active role in advancing medical research.",Depression,,Power Life Sciences Inc.,,2024-07,2026-07,"Power Life Sciences, San Francisco, California, 94107, United States"
NCT02278224,Rumination Focused Cognitive Behavioral Therapy for Major Depression and Recurrent Depression,COMPLETED,"Group based cognitive behavioural therapy (CBT) is an effective treatment of depression, however, one third of patients do not respond satisfactorily (McDermut, Miller, \& Brown, 2001), and relapse rates around 30% have been reported from several studies (Butler, Chapman, Forman, \& Beck, 2006).

The present study compares group based CBT with rumination focused CBT for depression with respect to outcome and relapse.

Rumination has been evidenced as a crucial vulnerability to depression (Smith \& Alloy, 2009), predicting the onset, severity and duration of future depression (Nolen-Hoeksema, 2000). Depressed individuals show a negative bias in the perception of facial emotion, in the acute phase as well as in remission (Bouhuys, Geerts, \& Gordijn, 1999), and display difficulties in disengaging from negative stimuli (Koster, De Raedt, Goeleven, Franck, \& Crombez, 2005). In addition the present study investigate rumination and perceptual attention bias as potential key mechanisms underlying depression.

128 depressed patients will be recruited and randomised for group based CBT or group based rumination focused CBT. Patients are assessed subsequently during treatment and at 6 month follow-up regarding depression, rumination, worry, negative perceptual bias, attention control. Results are expected at spring 2016.",Depression|Recurrent Depression,BEHAVIORAL: Group based rumination focused CBT|BEHAVIORAL: Group based CBT,University of Copenhagen,NA,2013-11,2016-02,"Psychiatric Outpatient Service, Hilleroed, 3400, Denmark"
NCT00904917,Preventing Depression in the Children of Depressed African American Mothers,COMPLETED,The purpose of the study is to adapt and test the Preventive Intervention Project for urban African American mothers with depression and their children.,Depression,BEHAVIORAL: Prevention Intervention Project|BEHAVIORAL: Psychoeducation,Children's Hospital of Philadelphia,PHASE1,2008-02,2009-02,"The Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States"
NCT00105911,A Cognitive-Behavioral Intervention for Depression and Anxiety in COPD,COMPLETED,"The literature and our preliminary studies found that in COPD patients, psychosocial factors affect quality of life (QOL) and functioning more than would be expected given the severity of their disease. To improve QOL and functioning in the approximately 50% of COPD patients with significant anxiety and/or depressive symptoms, interventions are needed. Much research documents the utility of cognitive behavioral therapy (CBT) in treating depression and anxiety, showing it to have promise as a self-management intervention to improve QOL in COPD patients.","Depressive Disorders|Anxiety Disorders|Pulmonary Disease, Chronic Obstructive",BEHAVIORAL: Cognitive Behavioral Therapy,US Department of Veterans Affairs,NA,2002-07,2005-06,"Michael E. DeBakey VA Medical Center, Houston, TX, Houston, Texas, 77030, United States"
NCT04201106,A Neuroimaging Study of Open-label Placebo in Depressed Adolescents,ACTIVE_NOT_RECRUITING,"Major depressive disorder (MDD) is the current leading cause of disability worldwide and adolescence is an especially vulnerable period for the onset of depression. Non-pharmacologic approaches are particularly attractive as treatment of adolescent depression due to the elevated risks of side effects related to the use of psychotropic drugs during development. A recent meta-analysis detected a positive and significant effect of non-deceptive placebos (open-label placebo, OLP) for a series of clinical conditions, including adult depression. To the investigators' knowledge, no studies of OLP have been conducted in depressed adolescents to date, although placebo response rates in adolescent depression are especially high, accounting for over 80% of the actual response to antidepressant treatment. The study's main objective is to estimate the effectiveness and understand the mechanism of OLP in depressed adolescents. The central hypothesis is that the mechanism by which OLP exerts its action in adolescent depression is by forming a positive expectation, which activates endogenous mu-opioid receptor (MOR)-mediated neurotransmission in a network of regions implicated in emotion, stress regulation, and the pathophysiology of MDD, namely, the anterior cingulate cortex (ACC) - striato - amygdalo - thalamic network. The hypothesis has been formulated on the basis of published research and preliminary data. The investigators will test the hypothesis by performing structural and functional neuroimaging in 60 untreated 13-18 year-old adolescents with mild to moderate depression. The proposed research is significant, because it is expected to elucidate the mechanism of action of OLP and advance the understanding of the neural underpinnings of positive expectations in adolescent depression.",Depression,BEHAVIORAL: Open Label Placebo with Rationale|BEHAVIORAL: Open Label Placebo without Rationale,"University of California, San Francisco",NA,2020-05-14,2032-12-30,"UCSF, San Francisco, California, 94143, United States"
NCT05941754,A Clinical Study of Omega-3 on Depression and Cognition,UNKNOWN,"Depression is a serious mental illness, with persistent depression and loss of interest as the main clinical manifestations, and causes varying degrees of cognitive impairment, further leading to impaired social function, and even lead to suicidal behavior. Previous studies on the antidepressant effects of Omega-3 mainly focused on chronic effects, and there was a lack of corresponding rapid response clinical studies. Because of the nature of Omega-3 health products, no clinical adverse effects have been reported. We have previously shown that Omega-3 can produce antidepressant and cognitive improvement effects. This study will carry out different doses (low dose and high dose) and single active ingredient (EPA alone) to observe the antidepressant and cognitive improvement effects of Omega-3 in clinical patients with major depression. The antidepressant effect and cognitive improvement effect of Omega-3 will be further verified to provide evidence for future clinical application.",Depression,DIETARY_SUPPLEMENT: omega-3|DIETARY_SUPPLEMENT: placebo,"Nanfang Hospital, Southern Medical University",NA,2022-12-15,2024-12-31,"Nanfang Hospital, Guangzhou, Guangdong, China"
NCT06484413,rTMS for Depression,COMPLETED,"This is a longitudinal observational study, where we will track outcomes in patients undergoing 5 weeks of FDA approved right DLPFC rTMS treatment.",Depression,,Northwell Health,,2016-08-23,2022-04-19,
NCT06095310,Clinical and Objective Psychiatric Analyses in Severe Depression.,RECRUITING,"Participation in the CALYPSO project will be offered to all patients with severe depression hospitalized in the adult psychiatry department of Lille CHU.

An initial visit will provide a standardized clinical assessment with: a medical history and history of the disease, a standardized structured Hamilton scale interview (scale with a score from 0 to 21; the higher the score, the more severe the depression) to assess the severity of depression, and a search for the different features of severe depression (melancholic, psychotic, anxious, catatonic, seasonal) using DSM-5 criteria (list of criteria to be validated to determine the type of clinical features). When assessing the severity of depression using the Hamilton scale interview, the patient will be seated in an armchair 2 to 3 meters from a camera on a tripod, positioned behind the clinician and enabling the entire interview to be recorded and, in particular, several observable and measurable psychiatric signs and symptoms, known as objective markers. From the video will be extracted face landmark and pose parameter using state-of-the-art open source software (Mediapipe) to analyze patients' emotional facial expressions and spatial movements. Moreover, a microphone will be used to capture the audio synchronously with the video. Speech will be automatically transcoded using state-of-the-art Automatic Speech Recognition system (DeepSpeech) to enable analysis of voice-related parameters (voice timbre, prosody, sound intensity). A recording of physical activity (3-axis accelerometer sensor; 32 Hz) and emotional reactivity (heart rate in beats per minute 1Hz; electrodermal activity 4 Hz; skin temperature in degrees 4 Hz; Empatica© bracelet) and brain activity (cerebral blood flow change index 10Hz; pulse rate in bpm 10Hz; 3-axis acceleration and angular velocity of the head 10Hz via functional Near-Infrared Spectroscopy (fNIRS) using a HOT-2000 wearable headset) will also be offered to the patient to complete the assessment. The Hamilton scale interview and recording of objective markers will be carried out weekly during the patient's hospitalization in an examination room specifically equipped for the project, on the second floor of the Fontan Hospital, in the psychiatry department of the Lille University hospital.

Longitudinal follow-up will be carried out with assessments at 3, 6 and 12 months after hospital discharge, including the Hamilton scale interview and recording of objective markers (i.e., emotional facial expressions, spatial movements, voice timbre, prosody, sound intensity, physical activity, heart rate, electrodermal activity, skin temperature).",Depression,BEHAVIORAL: New computer vision methods,"University Hospital, Lille",NA,2023-11-30,2027-11,"Hôpital Fontan 1 - CHU de Lille, Lille, 59000, France"
